date,house,n,method,prob,p1,p2,ptotal,nsnr,total,pregunta
10/09/2020,CIIR,1522,phone,0,65.00,29.00,94.00,6.00,100.00,¿Cuál de los órganos propuestos debiera redactar la nueva Constitución?
12/09/2020,Activa Research,1415,online,0,57.00,23.00,80.00,9.50,89.50,Y pensando en el órgano que debe redactar esta nueva Constitución ¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional?
12/09/2020,Activa Research,805,online,1,74.10,22.60,96.70,2.20,98.90,Y pensando en el órgano que debe redactar esta nueva Constitución ¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional? (votante probable)
17/09/2020,Mori,1000,online,0,51.00,27.00,78.00,22.00,100.00,¿VOTARÁ POR CONVENCIÓN MIXTA O CONVENCIÓN CONSTITUCIONAL? TODOS LOS ELECTORES
17/09/2020,Mori,720,online,1,61.00,30.00,91.00,9.00,100.00,¿VOTARÁ POR CONVENCIÓN MIXTA O CONVENCIÓN CONSTITUCIONAL? ENTRE LOS QUE DICEN QUE VOTARÁN
28/09/2020,Activa Research,1417,online,0,53.30,23.80,77.10,14.50,91.60,Y pensando en el órgano que debe redactar esta nueva Constitución ¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional?
28/09/2020,Activa Research,816,online,1,66.80,28.10,94.90,4.80,99.70,Y pensando en el órgano que debe redactar esta nueva Constitución ¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional? (votante probable)
30/09/2020,Criteria Research,1503,online,0,59.00,28.00,87.00,13.00,100.00,"Si el plebiscito por una nueva Constitución fuese el próximo domingo, ¿Por qué tipo de órgano votarías para redactar la nueva Constitución?"
05/10/2020,Data Influye,2145,online,0,61.00,21.00,82.00,13.00,95.00,"Y, en ese mismo Plebiscito, para Ud., ¿qué tipo de órgano debiera redactar la Nueva Constitución?"
07/10/2020,Numen,16785,online,0,38.50,35.00,73.50,13.30,86.80,"Si el plebiscito fuera este domingo, Votaría convención constitucional Mixta o una convención constitucional?"
09/10/2020,Activa Research,3309,online,0,56.20,20.10,76.30,10.70,87.00,Y pensando en el órgano que debe redactar esta nueva Constitución ¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional?
09/10/2020,Activa Research,1919,online,1,75.00,21.50,96.50,2.20,98.70,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional? (votante probable)
