id,tipo,cargo,fecha,año,periodo_inicio,periodo_fin,periodo,id_región,región,circunscripción_senatorial,distrito,comuna,id_circunscripción,circunscripción,sexo_mesa,candidato,nombre,apellido1,apellido2,sexo,resultado,partido,sigla,lista,válidos
50,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,525,Codpa,Hombre,Votos En Blanco, ,,,,,  ,   ,,11
51,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,525,Codpa,Mujer,Palma Fourcade Anibal,Anibal Francisco,Palma,Fourcade,Hombre,,Independiente,INDEP,A,9
52,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,525,Codpa,Mujer,Palza Corvacho Humberto,Humberto,Palza,Corvacho,Hombre,Si,Democrata Cristiano,PDC,A,28
53,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,525,Codpa,Mujer,Abusleme Alfaro Gabriel,Gabriel Eduardo,Abusleme,Alfaro,Hombre,,Renovacion Nacional,RN,B,17
54,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,525,Codpa,Mujer,Lagos Cosgrove Julio,Julio Eloy,Lagos,Cosgrove,Hombre,Si,Independiente,INDEP,B,52
55,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,525,Codpa,Mujer,Dougnac Rodriguez Fernando,Fernando Sergio,Dougnac,Rodriguez,Hombre,,Independiente,INDEP,CI,1
56,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,525,Codpa,Mujer,Soria Quiroga Jorge Alejandro,Jorge Alejandro,Soria,Quiroga,Hombre,,Independiente,INDEP,CI,3
57,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,525,Codpa,Mujer,Baraquett Jorratt Yulia,Julia,Baraquett,Jorratt,Mujer,,Independiente,INDEP,E,1
58,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,525,Codpa,Mujer,Pino Parraguez Raquel,Raquel Maria,Pino,Parraguez,Mujer,,Independiente,INDEP,E,4
59,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,525,Codpa,Mujer,Votos Nulos, ,,,,,  ,   ,,10
