id,tipo,cargo,fecha,año,periodo_inicio,periodo_fin,periodo,vuelta,id_región,región,id_provincia,provincia,comuna,circunscripción,sexo_mesa,candidato,nombre,apellido1,apellido2,sexo,resultado,resultado,partido,sigla,válidos
49,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Colchane,Colchane,Mujer,Votos Nulos ,,,,,,,,,37
50,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Colchane,Colchane,Mujer,Votos En Blanco ,,,,,,,,,11
51,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,2,Parinacota,General Lagos,General Lagos,Hombre,Francisco Javier Errazuriz,Francisco Javier,Errazuriz,Talavera,Hombre,,,Independiente,INDEP,24
52,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,2,Parinacota,General Lagos,General Lagos,Hombre,Hernan Buchi,Hernan,Buchi,Buc,Hombre,,,Independiente,INDEP,140
53,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,2,Parinacota,General Lagos,General Lagos,Hombre,Patricio Aylwin,Patricio,Aylwin,Azocar,Hombre,SI,,Democrata Cristiano,DC,71
54,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,2,Parinacota,General Lagos,General Lagos,Hombre,Votos Nulos ,,,,,,,,,13
55,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,2,Parinacota,General Lagos,General Lagos,Hombre,Votos En Blanco ,,,,,,,,,12
56,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,2,Parinacota,General Lagos,General Lagos,Mujer,Francisco Javier Errazuriz,Francisco Javier,Errazuriz,Talavera,Hombre,,,Independiente,INDEP,29
57,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,2,Parinacota,General Lagos,General Lagos,Mujer,Hernan Buchi,Hernan,Buchi,Buc,Hombre,,,Independiente,INDEP,110
58,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,2,Parinacota,General Lagos,General Lagos,Mujer,Patricio Aylwin,Patricio,Aylwin,Azocar,Hombre,SI,,Democrata Cristiano,DC,45
59,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,2,Parinacota,General Lagos,General Lagos,Mujer,Votos Nulos ,,,,,,,,,36
60,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,2,Parinacota,General Lagos,General Lagos,Mujer,Votos En Blanco ,,,,,,,,,11
61,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Huara,Chiapa,Hombre,Francisco Javier Errazuriz,Francisco Javier,Errazuriz,Talavera,Hombre,,,Independiente,INDEP,8
62,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Huara,Chiapa,Hombre,Hernan Buchi,Hernan,Buchi,Buc,Hombre,,,Independiente,INDEP,46
63,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Huara,Chiapa,Hombre,Patricio Aylwin,Patricio,Aylwin,Azocar,Hombre,SI,,Democrata Cristiano,DC,30
64,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Huara,Chiapa,Hombre,Votos Nulos ,,,,,,,,,9
65,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Huara,Chiapa,Hombre,Votos En Blanco ,,,,,,,,,0
66,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Huara,Chiapa,Mujer,Francisco Javier Errazuriz,Francisco Javier,Errazuriz,Talavera,Hombre,,,Independiente,INDEP,5
67,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Huara,Chiapa,Mujer,Hernan Buchi,Hernan,Buchi,Buc,Hombre,,,Independiente,INDEP,19
68,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Huara,Chiapa,Mujer,Patricio Aylwin,Patricio,Aylwin,Azocar,Hombre,SI,,Democrata Cristiano,DC,15
69,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Huara,Chiapa,Mujer,Votos Nulos ,,,,,,,,,17
70,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Huara,Chiapa,Mujer,Votos En Blanco ,,,,,,,,,2
71,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Huara,Huara,Hombre,Francisco Javier Errazuriz,Francisco Javier,Errazuriz,Talavera,Hombre,,,Independiente,INDEP,56
72,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Huara,Huara,Hombre,Hernan Buchi,Hernan,Buchi,Buc,Hombre,,,Independiente,INDEP,221
73,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Huara,Huara,Hombre,Patricio Aylwin,Patricio,Aylwin,Azocar,Hombre,SI,,Democrata Cristiano,DC,203
74,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Huara,Huara,Hombre,Votos Nulos ,,,,,,,,,7
75,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Huara,Huara,Hombre,Votos En Blanco ,,,,,,,,,11
76,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Huara,Huara,Mujer,Francisco Javier Errazuriz,Francisco Javier,Errazuriz,Talavera,Hombre,,,Independiente,INDEP,39
77,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Huara,Huara,Mujer,Hernan Buchi,Hernan,Buchi,Buc,Hombre,,,Independiente,INDEP,119
78,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Huara,Huara,Mujer,Patricio Aylwin,Patricio,Aylwin,Azocar,Hombre,SI,,Democrata Cristiano,DC,99
79,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Huara,Huara,Mujer,Votos Nulos ,,,,,,,,,11
80,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Huara,Huara,Mujer,Votos En Blanco ,,,,,,,,,7
81,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Iquique,Iquique,Hombre,Francisco Javier Errazuriz,Francisco Javier,Errazuriz,Talavera,Hombre,,,Independiente,INDEP,7237
82,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Iquique,Iquique,Hombre,Hernan Buchi,Hernan,Buchi,Buc,Hombre,,,Independiente,INDEP,9844
83,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Iquique,Iquique,Hombre,Patricio Aylwin,Patricio,Aylwin,Azocar,Hombre,SI,,Democrata Cristiano,DC,18541
84,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Iquique,Iquique,Hombre,Votos Nulos ,,,,,,,,,292
85,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Iquique,Iquique,Hombre,Votos En Blanco ,,,,,,,,,252
86,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Iquique,Iquique,Mujer,Francisco Javier Errazuriz,Francisco Javier,Errazuriz,Talavera,Hombre,,,Independiente,INDEP,7661
87,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Iquique,Iquique,Mujer,Hernan Buchi,Hernan,Buchi,Buc,Hombre,,,Independiente,INDEP,12360
88,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Iquique,Iquique,Mujer,Patricio Aylwin,Patricio,Aylwin,Azocar,Hombre,SI,,Democrata Cristiano,DC,16312
89,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Iquique,Iquique,Mujer,Votos Nulos ,,,,,,,,,538
90,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Iquique,Iquique,Mujer,Votos En Blanco ,,,,,,,,,278
