id,tipo,cargo,fecha,año,periodo_inicio,periodo_fin,periodo,vuelta,id_región,región,id_provincia,provincia,comuna,circunscripción,sexo_mesa,candidato,nombre,apellido1,apellido2,sexo,resultado,partido,sigla,válidos
4739,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Mujer,Eduardo Frei,Eduardo,Frei,Ruiz-Tagle,Hombre,Si,Democrata Cristiano,DC,146
4740,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Mujer,Eugenio Pizarro,Eugenio,Pizarro,Poblete,Hombre,,Independiente,INDEP,19
4741,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Mujer,Jose Piñera,Jose,Piñera,Echenique,Hombre,,Independiente,INDEP,24
4742,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Mujer,Manfred Max,Manfred,Max,Neef,Hombre,,Independiente,INDEP,6
4743,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Mujer,Votos Nulos ,,,,,,,,11
4744,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Mujer,Votos En Blanco ,,,,,,,,17
4745,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Colchane,Colchane,Hombre,Arturo Alessandri,Arturo,Alessandri,Besa,Hombre,,Independiente,INDEP,73
4746,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Colchane,Colchane,Hombre,Cristian Reitze,Cristian,Reitze,Campos,Hombre,,Alianza Humanista Verde,AHV,15
4747,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Colchane,Colchane,Hombre,Eduardo Frei,Eduardo,Frei,Ruiz-Tagle,Hombre,Si,Democrata Cristiano,DC,51
4748,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Colchane,Colchane,Hombre,Eugenio Pizarro,Eugenio,Pizarro,Poblete,Hombre,,Independiente,INDEP,21
4749,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Colchane,Colchane,Hombre,Jose Piñera,Jose,Piñera,Echenique,Hombre,,Independiente,INDEP,17
4750,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Colchane,Colchane,Hombre,Manfred Max,Manfred,Max,Neef,Hombre,,Independiente,INDEP,23
4751,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Colchane,Colchane,Hombre,Votos Nulos ,,,,,,,,32
4752,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Colchane,Colchane,Hombre,Votos En Blanco ,,,,,,,,12
4753,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Colchane,Colchane,Mujer,Arturo Alessandri,Arturo,Alessandri,Besa,Hombre,,Independiente,INDEP,186
4754,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Colchane,Colchane,Mujer,Cristian Reitze,Cristian,Reitze,Campos,Hombre,,Alianza Humanista Verde,AHV,10
4755,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Colchane,Colchane,Mujer,Eduardo Frei,Eduardo,Frei,Ruiz-Tagle,Hombre,Si,Democrata Cristiano,DC,86
4756,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Colchane,Colchane,Mujer,Eugenio Pizarro,Eugenio,Pizarro,Poblete,Hombre,,Independiente,INDEP,15
4757,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Colchane,Colchane,Mujer,Jose Piñera,Jose,Piñera,Echenique,Hombre,,Independiente,INDEP,23
4758,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Colchane,Colchane,Mujer,Manfred Max,Manfred,Max,Neef,Hombre,,Independiente,INDEP,11
4759,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Colchane,Colchane,Mujer,Votos Nulos ,,,,,,,,9
4760,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Colchane,Colchane,Mujer,Votos En Blanco ,,,,,,,,6
4761,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,2,Parinacota,General Lagos,General Lagos,Hombre,Arturo Alessandri,Arturo,Alessandri,Besa,Hombre,,Independiente,INDEP,45
4762,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,2,Parinacota,General Lagos,General Lagos,Hombre,Cristian Reitze,Cristian,Reitze,Campos,Hombre,,Alianza Humanista Verde,AHV,2
4763,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,2,Parinacota,General Lagos,General Lagos,Hombre,Eduardo Frei,Eduardo,Frei,Ruiz-Tagle,Hombre,Si,Democrata Cristiano,DC,81
4764,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,2,Parinacota,General Lagos,General Lagos,Hombre,Eugenio Pizarro,Eugenio,Pizarro,Poblete,Hombre,,Independiente,INDEP,14
