id,región,distrito,nombre,pres,pres2,vp1,vp2,vp3,mesa1,mesa2,mesa3,comisiones1,presos1,presos2,protocolo_covid,covid_pcr,nbásicas,reg_cs,reg_vpc,reg_ms+ldp,reg_cd,reg_fa,reg_ms+ldp(b),reg_vpc(b),reg_inn(b),reg_vpc(c1),reg_vpc(c2),reg_ms+ldp(iv),reg_cd(iv),reg_mesa(c),pres_fa,et_fa,et_cd,et_cs,ce_fa,ce_ms+ldp,ce_vpc,ce_cs,ce_mesa,ce_fa(5),ce_ms+ldp(iii),ce_cs(iii),co_ddhh,co_cit,co_pc,co_pycppoo,co_des,co_pst,co_pcdlp,co_pla,co_bv,co_dl,co_ms18o,co_brnbm,co_pvyt
888,Maule,18,Fernando Salinas Manfredini,Godoy,Loncon,Garin,Rojas,Rojas,na,na,na,na,opción dos,opción uno,a favor,a favor,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,abstencion,en contra ,en contra ,a favor ,a favor,en contra,en contra ,abstencion ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,a favor ,a favor ,a favor ,,,,,,,,,,,,,
895,Ñuble,19,Cesar Uribe Araya,Godoy,Loncon,Rojas,Rojas,Rojas,na,na,na,na,opción dos,opción uno,a favor,a favor,a favor,,en contra,a favor,a favor,en contra,a favor,en contra,en contra,en contra ,en contra ,a favor ,a favor,en contra,,en contra ,a favor ,a favor ,,a favor ,en contra ,a favor ,a favor ,en contra ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,abstencion ,abstencion,a favor ,abstencion,a favor ,en contra ,a favor,en contra
900,Ñuble,19,Margarita Letelier Cortes,Jurgensen,Jurgensen,Rivera B.,Rivera B.,Rivera B.,na,na,na,na,en contra,en contra,en contra,en contra,a favor,,a favor,en contra,en contra,abstención,en contra,a favor,a favor,a favor,a favor,en contra ,en contra ,abstencion,en contra ,a favor ,en contra ,a favor ,en contra ,en contra ,a favor ,a favor ,en contra ,,en contra ,en contra ,en contra ,a favor ,a favor ,a favor,a favor ,en contra ,en contra ,a favor ,en contra ,en contra ,en contra ,en contra ,a favor 
901,Ñuble,19,Martin Arrau Garcia-Huidobro,Jurgensen,Jurgensen,Rivera B.,Rivera B.,Rivera B.,na,na,na,na,en contra,en contra,en contra,en contra,a favor,,a favor,en contra,en contra,en contra,en contra,a favor,a favor,a favor,a favor,en contra ,en contra ,abstencion,en contra ,a favor ,en contra ,a favor ,en contra ,en contra ,a favor ,a favor ,en contra ,en contra ,en contra ,en contra ,en contra ,a favor ,a favor ,en contra ,a favor ,en contra ,en contra ,a favor ,en contra ,en contra ,en contra ,en contra ,a favor 
907,Ñuble,19,Felipe Harboe Bascuñan,Politzer,Politzer,Logan,Bassa,Bassa,na,na,na,na,en contra,en contra,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,abstencion,en contra ,,,
911,Ñuble,19,Carolina Andrea Sepulveda Sepulveda,Politzer,Politzer,Dominguez,Bassa,Bassa,na,na,na,na,opción uno,opción uno,a favor,en contra,a favor,,en contra,Abstención,en contra,en contra,en contra,a favor,a favor,en contra ,en contra ,a favor ,en contra ,abstencion,en contra ,a favor ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,abstencion ,abstencion,a favor ,a favor ,abstencion,abstencion,a favor,abstencion
930,Bío-Bío,20,Tammy Solange Pustilnick Arditi,Politzer,Politzer,Dominguez,Bassa,Bassa,na,na,na,na,abstención,abstención,a favor,a favor,a favor,,en contra,a favor,en contra,en contra,en contra,a favor,a favor,en contra ,en contra ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,,a favor ,a favor ,a favor,a favor ,a favor ,a favor,,abstencion ,abstencion,,,,en contra ,abstencion,
946,Bío-Bío,20,Rocio Cantuarias Rubio,Jurgensen,Jurgensen,Rivera B.,Rivera B.,Rivera B.,na,na,na,na,en contra,en contra,en contra,en contra,a favor,,a favor,en contra,en contra,abstención,en contra,a favor,a favor,a favor,a favor,en contra ,en contra ,abstencion,en contra ,abstencion ,en contra ,a favor ,en contra ,en contra ,a favor ,a favor ,en contra ,en contra ,en contra ,en contra ,en contra ,a favor ,a favor ,en contra ,a favor ,en contra ,en contra ,a favor ,en contra ,en contra ,en contra ,en contra ,a favor 
949,Bío-Bío,20,Luciano Ernesto Silva Mora,Jurgensen,Politzer,Garin,Bassa,Bassa,na,na,na,na,en contra,en contra,a favor,en contra,a favor,,a favor,en contra,en contra,abstención,en contra,a favor,a favor,a favor,a favor,en contra ,en contra ,abstencion,en contra ,abstencion ,en contra ,a favor ,en contra ,en contra ,a favor ,a favor ,en contra ,en contra ,en contra ,en contra ,a favor,a favor ,a favor ,a favor,a favor ,en contra ,abstencion,abstencion,abstencion,abstencion,abstencion,a favor,abstencion
955,Bío-Bío,20,Andres Cruz Carrasco,Loncon,Loncon,Bassa,Bassa,Bassa,na,na,na,na,en contra,en contra,a favor,a favor,a favor,,en contra,en contra,en contra,a favor,en contra,a favor,a favor,a favor,en contra ,en contra ,en contra ,en contra,en contra ,a favor ,a favor ,a favor ,en contra ,a favor ,en contra ,a favor ,a favor ,en contra ,en contra ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,en contra ,a favor ,a favor ,en contra ,a favor ,a favor ,a favor,a favor 
968,Bío-Bío,20,Amaya Paulina Alvez Marin,Loncon,Loncon,Bassa,Bassa,Bassa,na,na,na,na,opción uno,opción uno,a favor,a favor,a favor,,en contra,en contra,en contra,a favor,a favor,en contra,a favor,a favor,en contra ,a favor ,en contra ,a favor ,a favor ,a favor ,a favor ,a favor ,a favor ,abstencion ,en contra ,a favor ,a favor ,a favor ,a favor ,a favor ,a favor,a favor ,a favor ,a favor,a favor ,a favor,abstencion,abstencion,a favor ,abstencion,en contra ,abstencion,en contra
