fecha,encuesta,aprueba,desaprueba,dif,,
18/02/2020,Data Influye,8.00,73.00,-65.00,,
14/02/2020,Cadem,13.00,78.00,-65.00,,
13/02/2020,Activa Research,7.00,83.00,-76.00,,
07/02/2020,Cadem,9.00,84.00,-75.00,,
31/01/2020,Cadem,11.00,82.00,-71.00,,
30/01/2020,Activa Research,11.60,80.70,-69.10,,
28/01/2020,Criteria Research,11.00,84.00,-73.00,,
24/01/2020,Cadem,12.00,80.00,-68.00,,
21/01/2020,Data Influye,8.00,75.00,-67.00,,
17/01/2020,Cadem,10.00,82.00,-72.00,,
16/01/2020,Activa Research,6.60,84.10,-77.50,,
10/01/2020,Cadem,10.00,82.00,-72.00,,
06/01/2020,CEP,6.00,82.00,-76.00,,
03/01/2020,Cadem,13.00,80.00,-67.00,,
30/12/2019,Criteria Research,16.00,77.00,-61.00,,
27/12/2019,Cadem,11.00,80.00,-69.00,,
26/12/2019,Activa Research,10.10,81.20,-71.10,,
20/12/2019,Cadem,11.00,81.00,-70.00,,
13/12/2019,Cadem,13.00,79.00,-66.00,,
11/12/2019,Data Influye,10.20,67.30,-57.10,,
06/12/2019,Cadem,13.00,77.00,-64.00,,
29/11/2019,Cadem,10.00,82.00,-72.00,,
26/11/2019,Activa Research,8.80,83.80,-75.00,,
26/11/2019,Criteria Research,12.00,84.00,-72.00,,
22/11/2019,Cadem,12.00,81.00,-69.00,,
17/11/2019,Activa Research,9.60,85.00,-75.40,,
16/11/2019,Cadem,17.00,77.00,-60.00,,
08/11/2019,Cadem,15.00,79.00,-64.00,,
30/10/2019,Cadem,13.00,79.00,-66.00,,
30/10/2019,Activa Research,17.30,74.10,-56.80,,
29/10/2019,Criteria Research,16.00,78.00,-62.00,,
24/10/2019,Cadem,14.00,78.00,-64.00,,
23/10/2019,Activa Research,13.90,78.80,-64.90,,
18/10/2019,Cadem,29.00,58.00,-29.00,,
11/10/2019,Cadem,31.00,55.00,-24.00,,
04/10/2019,Cadem,34.00,53.00,-19.00,,
30/09/2019,Criteria Research,33.00,55.00,-22.00,,
27/09/2019,Cadem,33.00,53.00,-20.00,,
25/09/2019,Activa Research,24.00,66.10,-42.10,,
17/09/2019,Cadem,33.00,53.00,-20.00,,
13/09/2019,Cadem,30.00,54.00,-24.00,,
06/09/2019,Cadem,30.00,55.00,-25.00,,
30/08/2019,Criteria Research,34.00,65.00,-31.00,,
30/08/2019,Cadem,32.00,56.00,-24.00,,
29/08/2019,Activa Research,23.90,63.70,-39.80,,
23/08/2019,Cadem,29.00,57.00,-28.00,,
16/08/2019,Cadem,34.00,54.00,-20.00,,
09/08/2019,Cadem,33.00,53.00,-20.00,,
02/08/2019,Cadem,34.00,53.00,-19.00,,
29/07/2019,Criteria Research,30.00,64.00,-34.00,,
26/07/2019,Cadem,34.00,55.00,-21.00,,
25/07/2019,Activa Research,14.70,47.70,-33.00,,
19/07/2019,Cadem,29.00,58.00,-29.00,,
