id,fecha,id_región,región,comuna,provincia,n_votos1,p_1,n_votos2,p_2,n_blancos,p_blancos,n_nulos,p_nulos,n_válidos,n_emitidos
26,05/10/1988,3,De Atacama,Huasco,Huasco,2077,54.17,1757,45.83,52,1.32,39,0.99,3834,3925
27,05/10/1988,3,De Atacama,Tierra Amarilla,Copiapó,2720,52.97,2415,47.03,86,1.62,79,1.49,5135,5300
28,05/10/1988,3,De Atacama,Vallenar,Huasco,14528,55.67,11568,44.33,450,1.67,402,1.49,26096,26948
29,05/10/1988,4,De Coquimbo,Andacollo,Elqui,3269,46.96,3692,53.04,160,2.20,141,1.94,6961,7262
30,05/10/1988,4,De Coquimbo,Canela,Illapel,3666,66.07,1883,33.93,107,1.86,82,1.43,5549,5738
31,05/10/1988,4,De Coquimbo,Combarbala,Rancagua,3439,48.67,3627,51.33,136,1.85,134,1.83,7066,7336
32,05/10/1988,4,De Coquimbo,Coquimbo,Copiapó,28684,54.87,23591,45.13,734,1.36,806,1.50,52275,53815
33,05/10/1988,4,De Coquimbo,Illapel,Illapel,10050,64.64,5497,35.36,287,1.78,280,1.74,15547,16114
34,05/10/1988,4,De Coquimbo,La Higuera,Elqui,813,58.70,572,41.30,36,2.50,21,1.46,1385,1442
35,05/10/1988,4,De Coquimbo,La Serena,Elqui,34684,55.48,27829,44.52,777,1.21,760,1.19,62513,64050
36,05/10/1988,4,De Coquimbo,Los Vilos,Illapel,4762,62.62,2842,37.38,94,1.20,122,1.56,7604,7820
37,05/10/1988,4,De Coquimbo,Monte Patria,Limarí,7204,49.32,7402,50.68,247,1.63,320,2.11,14606,15173
38,05/10/1988,4,De Coquimbo,Ovalle,Limarí,22136,52.40,20110,47.60,752,1.72,846,1.93,42246,43844
39,05/10/1988,4,De Coquimbo,Paihuano,Elqui,594,27.01,1605,72.99,42,1.84,36,1.58,2199,2277
40,05/10/1988,4,De Coquimbo,Punitaqui,Limarí,2971,55.42,2390,44.58,99,1.78,113,2.03,5361,5573
41,05/10/1988,4,De Coquimbo,Rio Hurtado,Limarí,719,26.19,2026,73.81,78,2.73,32,1.12,2745,2855
42,05/10/1988,4,De Coquimbo,Salamanca,Illapel,6945,59.96,4638,40.04,134,1.12,255,2.13,11583,11972
43,05/10/1988,4,De Coquimbo,Vicuña,Elqui,4061,38.29,6546,61.71,193,1.75,200,1.82,10607,11000
44,05/10/1988,5,De Valparaiso,Algarrobo,San Antonio,1172,35.18,2159,64.82,37,1.08,43,1.26,3331,3411
45,05/10/1988,5,De Valparaiso,Cabildo,Petorca,6015,65.43,3178,34.57,123,1.30,164,1.73,9193,9480
